,ORIGIN_STATE_ABR,DEST_STATE_ABR,PASSENGERS
388,VA,MO,7211588
389,GA,WA,7203155
390,MO,VA,7181450
391,GA,MS,7058808
392,OH,MI,7058030
393,CO,NE,7054836
394,CO,MI,7054439
395,NE,CO,7053056
396,MI,CO,7048582
397,MI,OH,7039994
398,MS,GA,7027595
399,MD,MA,7023053
400,OR,IL,7021898
401,MA,MD,7016314
402,IL,OR,6997124
403,TX,IN,6939127
404,IL,CT,6928924
405,IN,TX,6913627
406,OH,VA,6866257
407,VA,OH,6785849
408,MD,OH,6740774
409,CT,IL,6739936
410,MO,NC,6724945
411,NC,AZ,6712860
412,AZ,NC,6700045
413,NV,NJ,6670966
414,NC,MO,6662032
415,NJ,NV,6649317
416,OH,MD,6641187
417,MN,PA,6591647
418,PA,MN,6553586
419,NM,CA,6552875
420,CA,NM,6535416
421,UT,OR,6533362
422,ID,UT,6524936
423,UT,ID,6457136
424,HI,TX,6440466
425,OK,CO,6410796
426,CO,OK,6386537
427,RI,MD,6358050
428,TX,HI,6351594
429,UT,IL,6349787
430,NV,OH,6347379
431,MD,RI,6342406
432,OR,UT,6334833
433,NJ,CO,6332752
434,NJ,VA,6289597
435,CO,NJ,6283203
436,IL,UT,6253636
437,OH,NV,6230709
438,MI,KY,6194282
439,MI,IN,6193784
440,KY,MI,6179738
441,VA,NJ,6133941
442,IN,MI,6108675
443,NY,MO,6061825
444,WA,ID,6047871
445,MO,NY,6037993
446,ID,WA,6028922
447,CA,KY,6025491
448,MS,TX,5972305
449,MD,MI,5962189
450,MI,MD,5927723
451,PA,KY,5924723
452,NJ,AZ,5918382
453,AZ,NJ,5918376
454,KY,CA,5899820
455,WI,FL,5886409
456,CO,MA,5864468
457,FL,WI,5853835
458,TX,MS,5839408
459,AZ,NY,5837805
460,KY,PA,5829882
461,MA,CO,5796671
462,NY,AZ,5746929
463,KY,VA,5737824
464,MT,CO,5735561
465,CO,MT,5719812
466,VA,KY,5683311
467,MO,TN,5671361
468,CO,OH,5650321
469,OH,CO,5645516
470,MD,NH,5640003
471,TN,MO,5636194
472,NH,MD,5615175
473,MT,MN,5521821
474,CO,NC,5485759
475,MN,NC,5478503
476,AZ,HI,5452080
477,MO,PA,5451737
478,TN,CO,5449310
