,ORIGIN_STATE_ABR,DEST_STATE_ABR,PASSENGERS
2301,PR,DE,501
2302,ME,NE,501
2303,VI,SC,499
2304,NV,WV,494
2305,RI,ME,490
2306,ID,SC,489
2307,VT,OR,480
2308,WY,OR,477
2309,NH,VT,476
2310,VT,AR,469
2311,KS,NH,463
2312,ME,ND,461
2313,NH,MT,461
2314,MT,SC,459
2315,NH,CT,459
2316,ND,AK,459
2317,UT,VT,457
2318,DE,NH,455
2319,ND,KS,453
2320,AR,SD,448
2321,IA,PR,444
2322,AK,OH,443
2323,VI,TN,440
2324,ND,MS,434
2325,DE,LA,430
2326,WY,IA,430
2327,KS,CT,429
2328,VI,OH,424
2329,WY,KS,423
2330,VT,UT,421
2331,DE,VA,417
2332,WY,LA,415
2333,WA,MS,414
2334,VT,NE,413
2335,VT,IA,408
2336,CT,WY,404
2337,HI,OK,399
2338,RI,MT,398
2339,ME,AR,394
2340,VT,CT,394
2341,AK,SD,392
2342,VA,DE,391
2343,WY,MD,391
2344,AZ,WV,390
2345,VT,NH,388
2346,KS,ND,386
2347,AL,MT,378
2348,RI,NH,369
2349,ID,NH,368
2350,AR,KS,367
2351,AR,IA,367
2352,ND,NH,367
2353,TN,VI,363
2354,MT,AL,361
2355,WI,DE,358
2356,SD,KS,352
2357,KS,ID,352
2358,ID,ME,350
2359,SC,WY,349
2360,WY,NC,346
2361,PR,NM,342
2362,AL,VI,341
2363,IA,AR,333
2364,LA,DE,325
2365,CT,NH,323
2366,NE,AK,321
2367,NE,PR,316
2368,DE,WI,315
2369,ME,NM,315
2370,SD,CT,311
2371,NM,AK,307
2372,ND,PR,307
2373,AL,VT,300
2374,WV,ME,299
2375,SC,MT,296
2376,ND,ME,291
2377,CT,ND,288
2378,AR,WV,286
2379,VT,MS,279
2380,CT,VT,279
2381,PR,MS,277
2382,CT,HI,277
2383,HI,NM,276
2384,NC,WY,274
2385,VI,LA,268
2386,NE,ME,267
2387,ND,NM,261
2388,SC,ID,259
2389,MT,ME,250
2390,MO,DE,249
2391,ME,MT,248
2392,VT,WA,248
2393,ME,WV,247
2394,WV,AZ,247
2395,KS,RI,243
2396,MN,WV,242
2397,NE,VT,239
2398,SD,NH,232
2399,ME,PR,231
2400,DE,MO,231
2401,NH,ND,229
2402,AL,DE,228
2403,AR,ND,226
2404,DE,AL,225
2405,PR,HI,223
2406,MA,SD,221
2407,PR,OR,216
2408,MT,RI,214
2409,VI,NV,214
2410,UT,ME,214
2411,ND,AR,211
2412,MS,WY,206
2413,VI,AZ,205
2414,MA,DE,204
2415,NE,VI,202
2416,AZ,VI,197
2417,WY,WI,195
2418,KS,HI,195
2419,VT,AL,195
2420,KS,SD,193
2421,IA,VT,191
2422,NM,ND,190
2423,OK,AK,189
2424,WV,NE,189
2425,CT,SD,183
2426,WY,IN,182
2427,WV,CA,181
2428,IA,RI,179
2429,VT,VT,179
2430,TT,AZ,177
2431,DE,PA,177
2432,DE,OH,174
2433,NM,PR,172
2434,HI,KS,172
2435,CA,WV,170
2436,WY,SC,170
2437,SD,MS,168
2438,HI,MS,167
2439,MS,SD,167
2440,WY,CT,166
2441,DE,MA,165
2442,ME,HI,165
2443,PR,AK,163
2444,DE,IN,162
2445,AZ,VT,159
2446,AK,NE,157
2447,VT,NV,152
2448,SD,DE,151
2449,DE,SD,150
2450,RI,IA,145
2451,ME,VT,140
2452,AR,WY,137
2453,IA,DE,137
2454,DE,IA,137
2455,SC,SD,137
2456,NY,TT,136
2457,VT,WV,136
2458,NY,DE,133
2459,NM,VT,132
2460,UT,PR,129
2461,DE,KY,128
2462,SD,SC,127
2463,PA,DE,127
2464,WY,WV,124
2465,KY,DE,123
2466,WV,WY,123
2467,VA,TT,120
2468,HI,ME,120
2469,ID,WV,118
2470,MS,VT,116
2471,WY,MS,113
2472,VT,KS,110
2473,AR,VI,109
2474,WV,NV,107
2475,ND,DE,106
2476,VI,WA,106
2477,VI,AL,106
2478,DE,ND,105
2479,SD,RI,105
2480,NV,VI,102
2481,VT,RI,101
2482,VT,MT,101
2483,WA,VI,100
2484,DE,NY,98
2485,MD,DE,98
2486,ME,SD,97
2487,MS,DE,96
2488,PR,VT,96
2489,DE,MS,95
2490,NV,DE,93
2491,SD,AK,91
2492,PR,SD,90
2493,VT,PR,90
2494,KS,DE,89
2495,NE,WV,88
2496,WV,ND,86
2497,WV,SD,84
2498,DE,OR,80
2499,OR,DE,79
2500,VI,WI,76
2501,NM,ME,75
2502,RI,ND,75
2503,VT,WY,75
2504,RI,AK,75
2505,AR,DE,73
2506,DE,AR,72
2507,VI,ME,72
2508,WA,VT,71
2509,ME,ID,68
2510,WV,VT,67
2511,VT,OK,67
2512,WY,RI,66
2513,AR,VT,63
2514,OR,TT,62
2515,AK,PR,59
2516,WV,PR,58
2517,ME,OR,57
2518,PR,WV,57
2519,SD,AL,57
2520,WY,PR,57
2521,VT,ND,56
2522,ND,RI,54
2523,ND,VT,52
2524,IA,HI,50
2525,VI,NM,49
2526,CT,CT,49
2527,VI,OR,49
2528,KS,PR,47
2529,PR,KS,47
2530,NM,HI,47
2531,WV,NH,46
2532,WV,OR,45
2533,OR,VT,45
2534,CA,DE,43
2535,NJ,DE,42
2536,AK,SC,41
2537,OH,DE,41
2538,NH,WV,39
2539,DE,MT,38
2540,WY,AR,37
2541,RI,WY,36
2542,CO,VI,36
2543,IN,DE,35
2544,OK,VT,35
2545,OR,WV,35
2546,AL,SD,33
2547,VT,NM,31
2548,IA,AK,30
2549,TT,MA,30
2550,TT,OH,29
2551,VT,AZ,28
2552,DE,MD,27
2553,DE,NJ,24
2554,HI,ND,23
2555,MT,HI,23
2556,AR,PR,23
2557,ID,VT,23
2558,HI,MT,23
2559,WV,AR,22
2560,HI,PR,21
2561,SD,WV,21
2562,RI,SD,18
2563,AK,MS,18
2564,KS,VT,18
2565,WY,ME,18
2566,SD,HI,17
2567,PR,WY,16
2568,DE,DE,16
2569,AK,AL,16
2570,VT,DE,16
2571,DE,VT,16
2572,CT,DE,15
2573,PR,ID,15
2574,DE,CA,14
2575,DE,CT,13
2576,WY,NH,13
2577,CA,VI,12
2578,RI,VT,11
2579,TT,NY,11
2580,AK,RI,10
2581,NJ,TT,10
2582,VT,SD,10
2583,AK,AR,10
2584,AK,IA,10
2585,HI,CT,9
2586,NH,VI,9
2587,WY,HI,9
2588,WY,AL,8
2589,HI,NH,8
2590,VI,NE,7
2591,RI,DE,6
2592,DE,RI,6
2593,SD,ME,6
2594,RI,HI,5
2595,OR,ME,5
2596,HI,SD,5
2597,AK,OK,5
2598,AR,AK,4
2599,OK,VI,3
2600,VI,NH,3
2601,KY,VI,3
2602,ND,WV,2
2603,AK,KS,2
2604,MT,MS,2
2605,WV,DE,2
2606,VT,HI,2
2607,AL,AK,2
2608,SD,VT,1
2609,PR,MT,1
2610,HI,AR,0
2611,VI,KS,0
2612,MO,TT,0
2613,MN,DE,0
2614,UT,DE,0
2615,VI,KY,0
2616,NV,TT,0
2617,FL,TT,0
2618,KS,AK,0
2619,AR,HI,0
2620,DE,WA,0
2621,HI,DE,0
2622,NM,VI,0
2623,UT,TT,0
2624,DE,WV,0
2625,HI,SC,0
2626,KS,VI,0
2627,AL,WY,0
2628,HI,IA,0
2629,OH,TT,0
2630,ND,HI,0
2631,MS,HI,0
2632,MS,MT,0
2633,TT,FL,0
2634,DE,ID,0
2635,TT,AK,0
2636,AK,CT,0
2637,GA,TT,0
2638,DE,AK,0
2639,CT,TT,0
2640,AK,DE,0
2641,NH,HI,0
2642,PA,TT,0
2643,PR,AR,0
2644,ID,TT,0
2645,MD,TT,0
2646,KY,TT,0
2647,WA,TT,0
2648,ME,AK,0
2649,SC,AK,0
2650,CT,AK,0
2651,SC,HI,0
2652,TT,ID,0
2653,DE,KS,0
2654,TT,LA,0
2655,TT,VA,0
2656,WV,WA,0
2657,MS,TT,0
2658,AZ,DE,0
2659,OK,DE,0
2660,DE,OK,0
2661,AZ,TT,0
2662,TT,WA,0
2663,NM,DE,0
2664,DE,NM,0
2665,WV,CO,0
2666,AK,WY,0
2667,AK,WV,0
2668,WA,WV,0
2669,WA,DE,0
2670,TT,NJ,0
2671,TT,ND,0
2672,TT,MD,0
2673,AK,TT,0
2674,DE,NE,0
